category,Median Home Price (NSA),CPI-Adjusted Price
Thu Jan 15 1953,18080.26,220308.65
Sun Feb 15 1953,18080.26,221140
Sun Mar 15 1953,18080.26,220308.65
Wed Apr 15 1953,18122.25,220820.3
Fri May 15 1953,18143.25,220248.18
Mon Jun 15 1953,18143.25,219426.36
Wed Jul 15 1953,18185.25,219934.31
Sat Aug 15 1953,18206.25,219369.75
Tue Sep 15 1953,18227.25,219622.78
Thu Oct 15 1953,18227.25,218809.36
Sun Nov 15 1953,18206.25,219369.75
Tue Dec 15 1953,18206.25,219369.75
Fri Jan 15 1954,18206.25,219369.75
Mon Feb 15 1954,18227.25,219622.78
Mon Mar 15 1954,18227.25,219622.78
Thu Apr 15 1954,18206.25,220188.29
Sat May 15 1954,18206.25,219369.75
Tue Jun 15 1954,18227.25,219622.78
Thu Jul 15 1954,18290.25,220381.87
Sun Aug 15 1954,18332.24,220887.82
Wed Sep 15 1954,18374.24,222219.98
Fri Oct 15 1954,18353.24,221966
Mon Nov 15 1954,18353.24,221966
Wed Dec 15 1954,18374.24,223052.26
Sat Jan 15 1955,18395.24,223307.19
Tue Feb 15 1955,18332.24,222542.41
Tue Mar 15 1955,18290.25,222032.67
Fri Apr 15 1955,18185.25,220758.04
Sun May 15 1955,18185.25,220758.04
Wed Jun 15 1955,18269.25,221777.75
Fri Jul 15 1955,18332.24,221712.03
Mon Aug 15 1955,18437.24,222981.91
Thu Sep 15 1955,18479.24,222659.04
Sat Oct 15 1955,18458.24,222406.01
Tue Nov 15 1955,18416.24,221899.95
Thu Dec 15 1955,18374.24,222219.98
Sun Jan 15 1956,18332.24,221712.03
Wed Feb 15 1956,18269.25,220950.22
Thu Mar 15 1956,18206.25,220188.29
Sun Apr 15 1956,18122.25,218357.62
Tue May 15 1956,18143.25,217800.98
Fri Jun 15 1956,18332.24,218451.55
Sun Jul 15 1956,18479.24,218595.92
Wed Aug 15 1956,18605.23,220892.47
Sat Sep 15 1956,18584.23,219837.88
Mon Oct 15 1956,18563.24,218791.07
Thu Nov 15 1956,18521.24,218296.05
Sat Dec 15 1956,18542.24,217751.74
Tue Jan 15 1957,18605.23,218491.46
Fri Feb 15 1957,18773.23,219668.48
Fri Mar 15 1957,18773.23,218878.3
Mon Apr 15 1957,18899.22,219557.45
Wed May 15 1957,18962.22,219502.6
Sat Jun 15 1957,18899.22,217994.77
Mon Jul 15 1957,18899.22,216454.17
Thu Aug 15 1957,18899.22,216454.17
Sun Sep 15 1957,18962.22,217175.71
Tue Oct 15 1957,19067.21,218378.17
Fri Nov 15 1957,19067.21,217609.23
Sun Dec 15 1957,19046.22,217369.68
Wed Jan 15 1958,19067.21,216087.49
Sat Feb 15 1958,19067.21,216087.49
Sat Mar 15 1958,19235.21,216477.59
Tue Apr 15 1958,19277.21,216199.58
Thu May 15 1958,19319.2,216670.51
Sun Jun 15 1958,19214.21,215493.02
Tue Jul 15 1958,19214.21,214749.94
Fri Aug 15 1958,19193.21,215257.5
Mon Sep 15 1958,19130.21,214550.93
Wed Oct 15 1958,19109.21,214315.41
Sat Nov 15 1958,19151.21,214045.81
Mon Dec 15 1958,19172.21,215021.97
Thu Jan 15 1959,19130.21,213811.1
Sun Feb 15 1959,19109.21,214315.41
Sun Mar 15 1959,19109.21,214315.41
Wed Apr 15 1959,19109.21,213576.39
Fri May 15 1959,19193.21,214515.23
Mon Jun 15 1959,19193.21,213778.06
Wed Jul 15 1959,19130.21,212346.64
Sat Aug 15 1959,19109.21,212113.54
Tue Sep 15 1959,19151.21,211854.21
Thu Oct 15 1959,19256.21,212291.2
Sun Nov 15 1959,19277.21,212522.72
Tue Dec 15 1959,19193.21,211596.65
Fri Jan 15 1960,19256.21,213015.74
Mon Feb 15 1960,19256.21,212291.2
Tue Mar 15 1960,19256.21,212291.2
Fri Apr 15 1960,19256.21,211571.57
Sun May 15 1960,19214.21,211110.11
Wed Jun 15 1960,19172.21,209936.99
Fri Jul 15 1960,19172.21,209936.99
Mon Aug 15 1960,19256.21,210856.8
Thu Sep 15 1960,19340.2,211776.5
